English,English - Plural,Translation - No Plural,Translation - Singluar,Translation - Plural,Similar to,Needs work,Note to Translator
Tola Sites,,Sitios de Tola,,,,,
Sector Name,,Nombre del sector,,,,,
Organization Name,,Nombre de la organización,,,,,
Description/Notes,,Descripción/Notas,,,,,
Organization url,,URL de la organización,,,,,
Primary Mode of Contact,,Forma de Contacto Principal,,,,,
Country Name,,Nombre del país,,,,,
organization,,organización,,,,,
2 Letter Country Code,,Código de país de 2 letras,,,,,
Latitude,,Latitud,,,,,
Longitude,,Longitud,,,,,
Zoom,,Enfocar,,,,,
Given Name,,Nombre de pila,,,,,
Employee Number,,Número de empleado,,,,,
Active Country,,País activo,,,,,
Accessible Countries,,Países accesibles,,,,,
Tola User,,Usuario de Tola,,,,,
No Organization for this user,,El usuario no tiene Organización,,,,,
User (all programs),,No hay programas disponibles,,,"#| msgid ""No available programs""",Fuzzy,
Basic Admin (all programs),,,,,,Untranslated,
Only Mercy Corps users can be given country-level access,,Solo usuarios de Mercy Corps pueden obtener acceso de nivel país,,,,,
Form,,Formulario,,,,,
Guidance,,Orientación,,,,,
Form Guidance,,Formulario de orientación,,,,,
City/Town,,Ciudad/Pueblo,,,,,
Address,,Dirección,,,,,
Phone,,Teléfono,,,,,
Contact,,Contacto,,,,,
Fund Code,,Código del fondo,,,,,
ID,,Identificación,,,,,
Program Name,,Nombre del programa,,,,,
Fund code,,Código del fondo,,,,,
Program Description,,Descripción del programa,,,,,
Enable Approval Authority,,Habilitar autoridad de aprobación,,,,,
Enable Public Dashboard,,Habilitar tablero público,,,,,
Program Start Date,,Fecha de inicio del programa,,,,,
Program End Date,,Fecha de finalización del programa,,,,,
Reporting Period Start Date,,Fecha de inicio del período de informe,,,,,
Reporting Period End Date,,Fecha de finalización del período de informe,,,,,
Low (view only),,Bajo (solo ver),,,,,#. Translators: Refers to a user permission role with limited access to view data only
Medium (add and edit results),,Medio (agregar y editar resultados),,,,,#. Translators: Refers to a user permission role with limited access to add or edit result data
High (edit anything),,Alto (editar todo),,,,,#. Translators: Refers to a user permission role with access to edit any data
User with Approval Authority,,Usuario con autoridad de aprobación,,,,,
Fund,,Fondo,,,,,
Tola Approval Authority,,Autoridad de aprobación de Tola,,,,,
Admin Level 1,,Nivel de administración 1,,,,,
Admin Level 2,,Nivel de administración 2,,,,,
Admin Level 3,,Nivel de administración 3,,,,,
Admin Level 4,,Nivel de administración 4,,,,,
Office Name,,Nombre de la oficina,,,,,
Office,,Oficina,,,,,
Profile Type,,Tipo de perfil,,,,,
Land Classification,,Clasificación de tierras,,,,,
"Rural, Urban, Peri-Urban",,"Rural, urbano, periurbano",,,,,
Land Type,,Tipo de tierra,,,,,
Site Name,,Nombre del sitio,,,,,
Contact Name,,Nombre de contacto,,,,,
Contact Number,,Número de contacto,,,,,
Number of Members,,Número de miembros,,,,,
Data Source,,Fuente de datos,,,,,
Total # Households,,Número total de hogares,,,,,
Average Household Size,,Tamaño promedio del hogar,,,,,
Male age 0-5,,Hombre de 0-5 años,,,,,
Female age 0-5,,Mujer de 0-5 años,,,,,
Male age 6-9,,Hombre de 6-9 años,,,,,
Female age 6-9,,Mujer de 6-9 años,,,,,
Male age 10-14,,Hombre de 10-14 años,,,,,
Female age 10-14,,Mujer de 10-14 años,,,,,
Male age 15-19,,Hombre de 15-19 años,,,,,
Female age 15-19,,Mujer de 15-19 años,,,,,
Male age 20-24,,Hombre de 20-24 años,,,,,
Female age 20-24,,Mujer de 20-24 años,,,,,
Male age 25-34,,Hombre de 25-34 años,,,,,
Female age 25-34,,Mujer de 25-34 años,,,,,
Male age 35-49,,Hombre de 35-49 años,,,,,
Female age 35-49,,Mujere de 35-49 años,,,,,
Male Over 50,,Hombre mayor de 50 años,,,,,
Female Over 50,,Mujer mayor de 50 años,,,,,
Total population,,Población total,,,,,
Total male,,Total masculino,,,,,
Total female,,Total femenino,,,,,
Classify land,,Clasificar la tierra,,,,,
Total Land,,Tierra total,,,,,
Total Agricultural Land,,Tierra agrícola total,,,,,
Total Rain-fed Land,,Tierra total alimentada por la lluvia,,,,,
Total Horticultural Land,,Tierra hortícola total,,,,,
Total Literate People,,Total de personas alfabetizadas,,,,,
% of Literate Males,,% de hombres alfabetizados,,,,,
% of Literate Females,,% de mujeres alfabetizadas,,,,,
Literacy Rate (%),,Tasa de alfabetización (%),,,,,
Households Owning Land,,Hogares que poseen tierras,,,,,
Average Landholding Size,,Tamaño promedio de propiedad,,,,,
In hectares/jeribs,,En hectáreas/jeribs,,,,,
Households Owning Livestock,,Hogares que son propietarios de ganado,,,,,
Animal Types,,Tipos de animales,,,,,
List Animal Types,,Lista de tipos de animales,,,,,
Administrative Level 1,,Nivel administrativo 1,,,,,
Administrative Level 2,,Nivel administrativo 2,,,,,
Administrative Level 3,,Nivel administrativo 3,,,,,
Administrative Level 4,,Nivel administrativo 4,,,,,
Latitude (Decimal Coordinates),,Latitud (coordenadas decimales),,,,,
Longitude (Decimal Coordinates),,Longitud (coordenadas decimales),,,,,
Site Active,,Sitio activo,,,,,
in progress,,en progreso,,,,,
This is the Provincial Line Manager,,Este es el gerente de línea provincial,,,,,
This is the originator,,Este es el creador,,,,,
Filled by,,Llenado por,,,,,
This should be GIS Manager,,Esto debería ser gerente de SIG,,,,,
Location verified by,,Ubicación verificada por,,,,,
Capacity,,Capacidad,,,,,
Stakeholder Type,,Tipo de partes interesadas,,,,,
Stakeholder Types,,Tipos de partes interesadas,,,,,
How will you evaluate the outcome or impact of the project?,,¿Cómo evaluará el resultado o el impacto del proyecto?,,,,,
Evaluate,,Evaluar,,,,,
Type of Activity,,Tipo de actividad,,,,,
Project Type,,Tipo de proyecto,,,,,
Name of Document,,Nombre del documento,,,,,
Type (File or URL),,Tipo (archivo o URL),,,,,
Template,,Modelo,,,,,
Stakeholder/Organization Name,,Nombre de parte interesada/organización,,,,,
Has this partner been added to stakeholder register?,,¿Este socio se ha agregado al registro de partes interesadas?,,,,,
Formal Written Description of Relationship,,Descripción escrita formal de la relación,,,,,
Vetting/ due diligence statement,,Declaración de escrutinio/diligencia debida,,,,,
Short Form (recommended),,Formulario corto (recomendado),,,,,
Date of Request,,Fecha de solicitud,,,,,
"Please be specific in your name.  Consider that your Project Name includes WHO, WHAT, WHERE, HOW",,"Por favor elija un nombre específico. Considere que su nombre de proyecto debe incluir QUIÉN, QUÉ, DÓNDE, CÓMO",,,,,
Project Activity,,Actividad del proyecto,,,,,
This should come directly from the activities listed in the Logframe,,Esto debe provenir directamente de las actividades enumeradas en el Logframe,,,,,
Project Description,,Descripción del proyecto,,,,,
If Rejected: Rejection Letter Sent?,,Si se rechaza: ¿Carta de rechazo enviada?,,,,,
If yes attach copy,,"Si es así, adjuntar copia",,,,,
Project COD #,,Número COD de proyecto,,,,,
Activity design for,,Diseño de actividad para,,,,,
LIN Code,,Código LIN,,,,,
Staff Responsible,,Personal responsable,,,,,
Are there partners involved?,,¿Hay socios involucrados?,,,,,
Name of Partners,,Nombre de los socios,,,,,
What is the anticipated Outcome or Goal?,,¿Cuál es el resultado u objetivo previsto?,,,,,
Expected starting date,,Fecha de inicio prevista,,,,,
Expected ending date,,Fecha de finalización esperada,,,,,
Expected duration,,Duración esperada,,,,,
[MONTHS]/[DAYS],,[MESES]/[DÍAS],,,,,
Type of direct beneficiaries,,Tipo de beneficiarios directos,,,,,
"i.e. Farmer, Association, Student, Govt, etc.",,"es decir, granjero, asociación, estudiante, gobierno, etc.",,,,,
Estimated number of direct beneficiaries,,Número estimado de beneficiarios directos,,,,,
Please provide achievable estimates as we will use these as our 'Targets',,Proporcione estimaciones alcanzables ya que las usaremos como nuestros 'Objetivos',,,,,
Refer to Form 01 - Community Profile,,Consulte el formulario 01 - Perfil de la comunidad,,,,,
Estimated Number of indirect beneficiaries,,Número estimado de beneficiarios indirectos,,,,,
This is a calculation - multiply direct beneficiaries by average household size,,Este es un cálculo: multiplique los beneficiarios directos por el tamaño promedio del hogar,,,,,
Total Project Budget,,Presupuesto total del proyecto,,,,,
In USD,,En USD,,,,,
Organizations portion of Project Budget,,Porción de las organizaciones del presupuesto del proyecto,,,,,
Estimated Total in Local Currency,,Total estimado en moneda local,,,,,
In Local Currency,,En moneda local,,,,,
Estimated Organization Total in Local Currency,,Total estimado de la organización en moneda local,,,,,
Total portion of estimate for your agency,,Porción total de la estimación para su agencia,,,,,
Local Currency exchange rate to USD,,Tasa de cambio de moneda local a USD,,,,,
Date of exchange rate,,Fecha de tasa de cambio,,,,,
Community Representative,,Representante de la comunidad,,,,,
Community Representative Contact,,Contacto del representante de la comunidad,,,,,
Community Mobilizer,,Movilizador comunitario,,,,,
Community Mobilizer Contact Number,,Número de contacto del movilizador comunitario,,,,,
Community Proposal,,Propuesta comunitaria,,,,,
Estimated # of Male Trained,,Número estimado de hombres entrenados,,,,,
Estimated # of Female Trained,,Número estimado de mujeres entrenadas,,,,,
Estimated Total # Trained,,Número total estimado de personas entrenadas,,,,,
Estimated # of Trainings Conducted,,Número estimado de capacitaciones realizadas,,,,,
Type of Items Distributed,,Tipo de elementos distribuidos,,,,,
Estimated # of Items Distributed,,Cantidad estimada de elementos distribuidos,,,,,
Estimated # of Male Laborers,,Número estimado de hombres trabajadores,,,,,
Estimated # of Female Laborers,,Número estimado de mujeres trabajadoras,,,,,
Estimated Total # of Laborers,,Cantidad total estimada de trabajadores,,,,,
Estimated # of Project Days,,Número estimado de días del proyecto,,,,,
Estimated # of Person Days,,Número estimado de días de personas,,,,,
Estimated Total Cost of Materials,,Costo total estimado de los materiales,,,,,
Estimated Wages Budgeted,,Salarios estimados presupuestados,,,,,
Estimation date,,Fecha de estimación,,,,,
Checked by,,Revisado por,,,,,
Finance reviewed by,,Finanzas revisadas por,,,,,
Date Reviewed by Finance,,Fecha revisada por Finanzas,,,,,
M&E Reviewed by,,M & E revisado por,,,,,
Date Reviewed by M&E,,Fecha revisada por M & E,,,,,
Sustainability Plan,,Plan de sostenibilidad,,,,,
Date Approved,,Fecha aprobada,,,,,
Approval Remarks,,Observaciones de aprobación,,,,,
General Background and Problem Statement,,Antecedentes generales y declaración del problema,,,,,
Risks and Assumptions,,Riesgos y suposiciones,,,,,
Description of Stakeholder Selection Criteria,,Descripción de los criterios de selección de las partes interesadas,,,,,
Description of project activities,,Descripción de las actividades del proyecto,,,,,
Description of government involvement,,Descripción de la participación del gobierno,,,,,
Description of community involvement,,Descripción de la participación de la comunidad,,,,,
Describe the project you would like the program to consider,,Describa el proyecto que desea que el programa considere,,,,,
Last Edit Date,,Última fecha de edición,,,,,
Expected start date,,Fecha de inicio esperada,,,,,
Imported from Project Initiation,,Importado desde el inicio del proyecto,,,,,
Expected end date,,Fecha de finalización esperada,,,,,
Imported Project Initiation,,Iniciación de proyectos importados,,,,,
Expected Duration,,Duración esperada,,,,,
Actual start date,,Fecha de inicio real,,,,,
Actual end date,,Fecha de finalización real,,,,,
Actual duaration,,Duración real,,,,,
If not on time explain delay,,"Si no está a tiempo, explique la demora",,,,,
Estimated Budget,,Presupuesto estimado,,,,,
Actual Cost,,Costo real,,,,,
Actual cost date,,Fecha de costo real,,,,,
Budget versus Actual variance,,Presupuesto frente a la varianza real,,,,,
Explanation of variance,,Explicación de la varianza,,,,,
Estimated Budget for Organization,,Presupuesto estimado para la organización,,,,,
Actual Cost for Organization,,Costo real de la organización,,,,,
Actual Direct Beneficiaries,,Beneficiarios directos reales,,,,,
Number of Jobs Created,,Número de empleos creados,,,,,
Part Time Jobs,,Trabajos de medio tiempo,,,,,
Full Time Jobs,,Trabajos a tiempo completo,,,,,
Progress against Targets (%),,Progreso contra objetivos (%),,,,,
Government Involvement,,Participación del gobierno,,,,,
Community Involvement,,Participación de la comunidad,,,,,
CommunityHandover/Sustainability Maintenance Plan,,Plan de CommunityHandover/mantenimiento de la sostenibilidad,,,,,
Check box if it was completed,,Marque la casilla si se completó,,,,,
Describe how sustainability was ensured for this project,,Describa cómo se aseguró la sostenibilidad para este proyecto,,,,,
How was quality assured for this project,,Cómo se aseguró la calidad de este proyecto,,,,,
Lessons learned,,Lecciones aprendidas,,,,,
Estimated by,,Estimado por,,,,,
Reviewed by,,Revisado por,,,,,
Project Tracking,,Seguimiento de proyecto,,,,,
"Link to document, document repository, or document URL",,"Enlace al documento, repositorio de documentos o URL del documento",,,,,
%% complete,,%% completado,,,,,
%% cumulative completion,,%% de finalización acumulativa,,,,,
Est start date,,Fecha estimada de inicio,,,,,
Est end date,,Fecha estimada de finalización,,,,,
site,,sitio,,,,,
Complete,,Completar,,,,,
Project Components,,Componentes del proyecto,,,,,
Person Responsible,,Persona responsable,,,,,
complete,,completar,,,,,
Monitors,,Monitores,,,,,
Contributor,,Contribuyente,,,,,
Description of contribution,,Descripción de la contribución,,,,,
Item,,Elemento,,,,,
Checklist,,Lista de verificación,,,,,
Checklist Item,,Elemento de la lista de verificación,,,,,
Reporting period must start on the first of the month,,El período de informe debe comenzar el primero de mes,,,,,
Reporting period start date cannot be changed while time-aware periodic targets are in place,,La fecha de inicio del período de informe no puede ser cambiada mientras haya objetivos periódicos basados en tiempo,,,,,
Reporting period must end on the last day of the month,,El período de informe debe terminar el último día de mes,,,,,
Reporting period must end after the start of the last target period,,El período de informe debe terminar después del inicio del último período objetivo,,,,,
Reporting period must start before reporting period ends,,El período de informe debe comenzar antes que su fecha de finalización,,,,,
You must select a reporting period end date,,Debe seleccionar una fecha de finalización para el período de informe,,,,,
Find,,Encontrar,,,,,"#. Translators: Used as a verb, a button label for a search function"
"City, Country:",,"Ciudad, País:",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
